time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-14T16:43:21.834Z,-7.8729,118.609,10,5.1,mb,,79,3.058,1.06,us,us7000gc0w,2022-01-14T17:00:12.040Z,"66 km NNW of Bima, Indonesia",earthquake,7.5,1.9,0.107,28,reviewed,us,us
2022-01-14T16:13:03.440Z,36.568,71.5044,102.96,5.1,mww,,48,0.929,0.71,us,us7000gc0n,2022-01-14T22:04:04.209Z,"13 km SSW of Ashk?sham, Afghanistan",earthquake,5.2,5.1,0.098,10,reviewed,us,us
2022-01-14T16:00:45.080Z,19.1768333333333,-155.5265,33.18,2.76,ml,53,86,,0.11,hv,hv72872787,2022-01-14T20:50:36.990Z,"5 km WSW of P?hala, Hawaii",earthquake,0.43,0.56,0.177786405211459,26,reviewed,hv,hv
2022-01-14T15:13:47.863Z,56.1458,-156.8133,35,2.5,ml,,,,0.58,ak,ak022nej93n,2022-01-14T15:17:51.136Z,"100 km E of Chignik, Alaska",earthquake,,5.5,,,automatic,ak,ak
2022-01-14T15:09:00.557Z,-28.2815,-176.7216,10,5,mb,,72,1.435,1.2,us,us7000gbyy,2022-01-14T15:30:01.040Z,"Kermadec Islands region",earthquake,7.8,1.6,0.1,36,reviewed,us,us
2022-01-14T15:05:41.430Z,32.7728333,-115.4401667,12.18,2.85,ml,41,62,0.03287,0.25,ci,ci39912487,2022-01-14T23:14:56.741Z,"7km SW of Holtville, CA",earthquake,0.35,0.63,0.231,25,reviewed,ci,ci
2022-01-14T14:51:57.484Z,57.4626,-136.4024,15.8,4.6,ml,,,,1.2,ak,ak022ne5zcd,2022-01-15T08:05:57.198Z,"56 km S of Pelican, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-01-14T12:44:45.453Z,28.0988,142.8582,17.95,4.9,mb,,93,8.767,0.54,us,us7000gbyj,2022-01-14T13:08:35.040Z,"Bonin Islands, Japan region",earthquake,10.7,4.8,0.041,183,reviewed,us,us
2022-01-14T11:42:15.560Z,19.1896666666667,-155.472833333333,33.6,2.94,ml,56,90,,0.11,hv,hv72872407,2022-01-14T20:43:49.540Z,"1 km SSE of P?hala, Hawaii",earthquake,0.38,0.47,0.182386274066733,35,reviewed,hv,hv
2022-01-14T11:24:25.761Z,-23.4146,-70.9115,31.59,4.6,mb,,141,0.342,0.87,us,us7000gby7,2022-01-14T14:48:57.183Z,"58 km WNW of Antofagasta, Chile",earthquake,4.7,5,0.094,34,reviewed,us,us
2022-01-14T10:55:44.746Z,52.2755,-167.9376,36.09,4.1,mb,,176,0.894,0.59,us,us7000gby3,2022-01-14T13:11:30.040Z,"96 km SE of Nikolski, Alaska",earthquake,7,5.3,0.077,46,reviewed,us,us
2022-01-14T10:07:33.386Z,-7.5142,128.588,100.99,4.6,mb,,61,2.726,0.55,us,us7000gbxq,2022-01-14T10:31:53.040Z,"207 km ENE of Lospalos, Timor Leste",earthquake,6.7,8,0.076,52,reviewed,us,us
2022-01-14T09:49:21.435Z,-7.0742,105.1787,32.9,5.4,mww,,40,2.481,1.27,us,us7000gbww,2022-01-15T09:52:53.657Z,"105 km SW of Labuan, Indonesia",earthquake,6.4,4.7,0.098,10,reviewed,us,us
2022-01-14T09:08:53.085Z,-9.6201,33.7194,10,4.4,mb,,104,8.396,0.47,us,us7000gbu6,2022-01-14T15:57:08.040Z,"14 km WSW of Kyela, Tanzania",earthquake,10.8,2,0.139,22,reviewed,us,us
2022-01-14T09:05:42.540Z,-6.9291,105.2513,37.19,6.6,mww,,60,2.438,1.22,us,us7000gbu4,2022-01-15T09:12:12.510Z,"88 km SW of Labuan, Indonesia",earthquake,6,5.1,0.063,24,reviewed,us,us
2022-01-14T08:29:06.218Z,24.2269,94.5628,91.39,4.1,mb,,107,4.131,0.67,us,us7000gbtz,2022-01-14T08:47:09.040Z,"64 km SE of W?ngjing, India",earthquake,12.3,5.6,0.151,12,reviewed,us,us
2022-01-14T08:25:28.704Z,50.5178,-130.236,10,4.3,mb,,187,1.346,0.81,us,us7000gbtx,2022-01-14T09:31:25.921Z,"223 km W of Port McNeill, Canada",earthquake,10.7,2,0.079,45,reviewed,us,us
2022-01-14T07:55:16.700Z,19.1811666666667,-155.4745,32.56,2.58,md,48,83,,0.11,hv,hv72872162,2022-01-14T21:12:05.800Z,"2 km S of P?hala, Hawaii",earthquake,0.45,0.63,0.177529486936367,22,reviewed,hv,hv
2022-01-14T06:38:26.617Z,50.5727,-130.1925,10,4.2,mb,,184,1.313,0.83,us,us7000gbtt,2022-01-14T07:28:53.661Z,"219 km W of Port McNeill, Canada",earthquake,8,2,0.09,34,reviewed,us,us
2022-01-14T05:56:26.641Z,-18.0237,-178.2551,563.22,4.4,mb,,123,3.526,0.62,us,us7000gbtl,2022-01-15T06:15:05.040Z,"257 km E of Levuka, Fiji",earthquake,15.6,9.3,0.082,43,reviewed,us,us
2022-01-14T05:50:21.655Z,-21.2922,-68.8872,115.3,4.3,mb,,58,0.612,1.27,us,us7000gbtj,2022-01-14T06:05:09.040Z,"128 km N of Calama, Chile",earthquake,6.1,6.5,0.111,23,reviewed,us,us
2022-01-14T05:33:06.510Z,17.9793,-66.8443,16,2.51,md,13,157,0.0352,0.13,pr,pr2022014000,2022-01-14T06:03:54.789Z,"3 km WSW of Indios, Puerto Rico",earthquake,0.47,0.6,0.2,10,reviewed,pr,pr
